id,name,tagline,emoji,play_package,toss_scheme,play,toss,name_en,tagline_en,icon,tagline_toss,tags,pos
juice-spinner,주스 스피너,오늘 주스는 누가 쏠까? 복불복 룰렛,🧃,com.fadongkwon.juice_spinner_ad,intoss://juice-spinner,1,1,Juice Spinner,Who buys the juice? Party roulette,https://fadongkwon.com/app-icons/juice-spinner.png,,파티;복불복;룰렛;모임;캐주얼,505
spin-the-bottle,병 돌리기,모임을 달구는 병 돌리기 복불복,🍾,com.fadongkwon.spin_the_bottle_ad,intoss://spin-the-bottle,1,1,Spin the Bottle,The party classic bottle spin,https://fadongkwon.com/app-icons/spin-the-bottle.png,,파티;복불복;룰렛;모임;캐주얼,495
saju-lotto,사주로또,내 사주로 뽑는 로또 번호,🔮,com.fadongkwon.saju_lotto,intoss://saju-lucky-number,1,1,Saju Lotto,Lucky lotto numbers from your saju,https://fadongkwon.com/app-icons/saju-lotto.png,,운세;사주;로또;콘텐츠;재미,950
reaction,반응속도 챌린지,당신의 반응속도는 몇 ms?,⚡,com.fadongkwon.reaction,intoss://reaction-challenge,1,1,Reaction Challenge,How fast can you tap?,https://fadongkwon.com/app-icons/reaction.png,,게임;캐주얼;반응속도;순발력;기록도전,650
memory-card,기억력 카드,카드를 뒤집어 짝을 맞추세요!,🃏,com.fadongkwon.memory_card,intoss://memory-card,1,1,Memory Cards,Flip and match the pairs!,https://fadongkwon.com/app-icons/memory-card.png,,게임;캐주얼;기억력;두뇌;기록도전,708
math-monsters,수학 몬스터,문제를 풀어 몬스터를 잡아라!,👾,com.fadongkwon.math_monsters,intoss://math-monsters,1,0,Math Monsters,Solve problems to catch monsters!,https://fadongkwon.com/app-icons/math-monsters.png,,교육;아이학습;수학;몬스터;두뇌,50
hangul-monsters,한글 몬스터,몬스터를 잡으며 배우는 한글!,🗣️,com.fadongkwon.hangul_monsters,intoss://hangul-monsters,1,1,Hangul Monsters,Say it right and catch monsters!,https://fadongkwon.com/app-icons/hangul-monsters.png,듣고 맞히며 배우는 한글!,교육;아이학습;한글;몬스터;듣기,108
nursing-quiz,간호조무사 모의고사,국가시험 대비 2400+ 문항 문제은행,🩺,com.fadongkwon.nursing_quiz,intoss://nursing-quiz,1,1,Nursing Exam Bank,Korean nursing exam question bank,https://fadongkwon.com/app-icons/nursing-quiz.png,,교육;시험;자격증;문제은행,253
